# UFO sightings reported to the National UFO Reporting Center 
# http://www.nuforc.org/webreports
# date range: 2016-01-01 to 2016-12-31
# NOTE: Data is largely unsanitized!
#
dtime,city,state,ufoshape
2016-12-17 00:08:00,Fairfield,CA,Fireball
2016-12-16 23:30:00,Rio Rancho,NM,Fireball
2016-12-16 22:20:00,Hixson,TN,Other
2016-12-16 22:00:00,Dade City,FL,Circle
2016-12-16 19:30:00,La Veta,CO,Light
2016-12-16 18:30:00,Kelso,WA,Other
2016-12-16 18:00:00,Skiatook,OK,Light
2016-12-16 06:25:00,Carson City,NV,
2016-12-15 21:00:00,Syracuse,NY,Oval
2016-12-15 20:30:00,Johnson City,TN,Triangle
2016-12-15 20:00:00,Davie,FL,Egg
2016-12-15 19:00:00,Winchester,KS,Triangle
2016-12-15 19:00:00,Middlefield,CT,Light
2016-12-15 18:00:00,Corbin,KY,Flash
2016-12-15 17:50:00,Simpsonville,SC,Disk
2016-12-15 17:00:00,Panama City,FL,Circle
2016-12-15 14:00:00,Stephenson,VA,Circle
2016-12-15 07:12:00,Chandler,AZ,
2016-12-15 05:37:00,Ozark,AL,Unknown
2016-12-14 20:15:00,Cumming,GA,Light
2016-12-14 19:54:00,North Chesterfield,VA,Formation
2016-12-14 19:21:00,Dabney,KY,Triangle
2016-12-14 17:00:00,Clinton,CT,Circle
2016-12-14 09:00:00,San Diego,CA,Oval
2016-12-14 06:00:00,South Burlington,VT,Light
2016-12-14 05:35:00,Prescott Valley,AZ,Unknown
2016-12-14 05:00:00,Monroe Twp,NJ,Unknown
2016-12-14 01:00:00,Berthoud,CO,Disk
2016-12-13 23:00:00,Liberty Lake,WA,Triangle
2016-12-13 22:20:00,Chicago,IL,Light
2016-12-13 22:00:00,La Jolla,CA,Light
2016-12-13 21:15:00,Fort Lauderdale,FL,Circle
2016-12-13 21:00:00,Cedar Rapids,IA,Triangle
2016-12-13 19:00:00,Hale,MI,Light
2016-12-13 19:00:00,Panama City,FL,Circle
2016-12-13 19:00:00,Dubuque,IA,Light
2016-12-13 18:30:00,St. Johns,FL,Chevron
2016-12-13 17:00:00,Atlantic Ocean,,Other
2016-12-13 05:35:00,West Des Moines,IA,Light
2016-12-13 03:37:00,Pasadena,CA,Unknown
2016-12-13 00:28:00,Zanesvill,OH,Chevron
2016-12-12 21:30:00,Hagerstown,MD,Fireball
2016-12-12 20:45:00,Jacksonville,FL,Light
2016-12-12 19:07:00,Taos,NM,Light
2016-12-12 19:06:00,Stevens Pass,WA,Changing
2016-12-12 19:00:00,Marietta,GA,Light
2016-12-12 18:50:00,West Collingswood,NJ,Sphere
