# UFO sightings reported to the National UFO Reporting Center 
# http://www.nuforc.org/webreports
# date range: 2000-01-01 to 2015-12-31
# NOTE: Data is largely unsanitized!
#
dtime,city,state,ufoshape
2015-12-12 21:30:00,Tampa,FL,Light
2015-12-12 19:41:00,Marietta,OH,Circle
2015-12-12 19:00:00,Niceville,FL,Sphere
2015-12-12 18:45:00,Sacramento,CA,Circle
2015-12-12 09:00:00,Palm Desert,CA,Oval
2015-12-12 01:30:00,Colorado Springs,CO,Sphere
2015-12-12 00:00:00,Aliso Viejo,CA,Circle
2015-12-12 00:00:00,Fayetteville,NC,Light
2015-12-11 22:00:00,Webster,MA,Sphere
2015-12-11 22:00:00,Bremerton,WA,Flash
2015-12-11 21:19:00,Costa Mesa,CA,Unknown
2015-12-11 21:00:00,Inman,SC,Triangle
2015-12-11 21:00:00,Buxton,NC,Triangle
2015-12-11 18:10:00,Sacramento,CA,Fireball
2015-12-11 09:30:00,Orlando,FL,Disk
2015-12-11 07:30:00,Gilbert,AZ,Unknown
2015-12-11 06:00:00,Bethlehem,PA,Changing
2015-12-11 05:15:00,Burlington,WI,Light
2015-12-11 05:00:00,Oakland Township,MI,Light
2015-12-11 04:37:00,Shrewsbury,MA,Diamond
2015-12-11 01:40:00,Brighton,MA,Diamond
2015-12-10 23:30:00,Anchorage,AK,Unknown
2015-12-10 23:00:00,Jacksonville,FL,Unknown
2015-12-10 22:00:00,Nashville,TN,Light
2015-12-10 22:00:00,Bentonville,AR,Light
2015-12-10 21:36:00,St. Paul,MN,Flash
2015-12-10 21:25:00,Madison,WI,Circle
2015-12-10 21:25:00,Madison,WI,Circle
2015-12-10 20:30:00,Edmonton (Canada),AB,Light
2015-12-10 20:25:00,Trumann,AR,Triangle
2015-12-10 19:20:00,Yuma,AZ,Other
2015-12-10 19:00:00,Newburgh,ME,Sphere
2015-12-10 18:30:00,Port Allegheny,PA,Triangle
2015-12-10 18:10:00,St. Augustine,FL,Light
2015-12-10 17:50:00,Bluff City,TN,Triangle
2015-12-10 17:50:00,Milwaukee,WI,Other
2015-12-10 17:30:00,Dubai (UAE),,Light
2015-12-10 17:05:00,Panama City,FL,Light
2015-12-10 17:00:00,East Los Angeles (Boyle Heights),CA,Flash
2015-12-10 16:00:00,Racine,WI,Circle
2015-12-10 08:20:00,Valley Falls,KS,Triangle
2015-12-10 08:00:00,Parker,AZ,Light
2015-12-10 07:45:00,Parker,AZ,Rectangle
2015-12-10 06:00:00,Marietta,SC,Triangle
2015-12-10 06:00:00,Lucerne Valley,CA,Fireball
2015-12-09 22:59:00,Frenchtown (Monroe),MI,Fireball
2015-12-09 22:50:00,Rosemead,CA,Unknown
2015-12-09 21:10:00,Walpole Island (Canada),ON,Triangle
2015-12-09 20:40:00,Spring Grove,IL,Light
2015-12-09 18:00:00,Holly Springs,NC,Unknown
2015-12-09 17:23:00,Beaverton,OR,Light
2015-12-09 15:05:00,Mount Ida,AR,Sphere
2015-12-09 06:17:00,Renton,WA,Unknown
2015-12-09 06:00:00,Pune (~50 kms from)(India),,Unknown
2015-12-08 21:00:00,Pittsboro,NC,Light
2015-12-08 21:00:00,Athens,AL,Diamond
2015-12-08 20:51:00,Tampa,FL,Fireball
2015-12-08 18:40:00,Dunedin,FL,Chevron
2015-12-08 18:20:00,Vance,AL,Light
2015-12-08 17:34:00,New Bloomington,OH,Changing
2015-12-08 17:15:00,Knoxville,TN,Cylinder
2015-12-08 15:00:00,Matanzas Inlet,FL,Other
2015-12-08 12:55:00,Kennesaw,GA,Other
2015-12-08 04:30:00,Phoenix,AZ,Cigar
2015-12-07 22:35:00,Keene,NH,Light
2015-12-07 22:00:00,Bexley,OH,Fireball
2015-12-07 21:15:00,York,NE,Triangle
2015-12-07 20:00:00,King George,VA,Light
2015-12-07 16:00:00,Cowlington,OK,Circle
2015-12-07 05:00:00,"Karle (near Hassan, Karnataka)(India)",,Flash
2015-12-07 03:00:00,Northbrook,IL,Light
2015-12-07 02:30:00,Campbelltown (Sydney)(Australia),,Formation
2015-12-07 02:00:00,Johannesburg (South Africa),,Unknown
2015-12-07 01:00:00,Huntington,WV,Triangle
2015-12-06 19:45:00,Tracy,CA,Changing
2015-12-06 19:35:00,Linden,VA,Fireball
2015-12-06 19:30:00,Russellville,AR,Circle
2015-12-06 18:34:00,Albuquerque,NM,Fireball
2015-12-06 18:30:00,Albuquerque,NM,Oval
2015-12-06 17:00:00,Grafton,MA,Formation
2015-12-06 16:45:00,Ottawa (Canada),ON,Sphere
2015-12-06 12:00:00,Santa Fe,NM,Fireball
2015-12-06 08:50:00,Leander,TX,
2015-12-06 07:46:00,Ottawa (Canada),ON,Light
2015-12-06 01:00:00,Bowling Green,KY,Flash
2015-12-05 23:30:00,Whitesburg,KY,Triangle
2015-12-05 23:15:00,Thornton,KY,Triangle
2015-12-05 21:30:00,Seal Beach,CA,Fireball
2015-12-05 21:10:00,Jamison,PA,Cylinder
2015-12-05 21:00:00,Prospect,ME,Changing
2015-12-05 18:00:00,St. Louis County,MO,Circle
2015-12-05 13:15:00,Huntingdon Valley,PA,Other
2015-12-05 10:56:00,Green Bay West,WI,Sphere
2015-12-05 05:00:00,Deltona,FL,Light
2015-12-05 04:18:00,Paris,MO,Teardrop
2015-12-05 03:20:00,Beaver Falls,PA,Fireball
2015-12-05 03:00:00,Aldie,VA,Sphere
2015-12-04 00:00:00,Tacoma,WA,Oval
2015-12-04 23:30:00,Portland,OR,Other
2015-12-04 22:28:00,Sturgeon Bay,WI,Light
2015-12-04 22:20:00,Gilchrist (Canada),ON,Flash
2015-12-04 22:00:00,Norton Shores,MI,Rectangle
2015-12-04 21:45:00,Meridian,ID,Unknown
2015-12-04 21:00:00,Charles City,IA,Light
2015-12-04 20:00:00,Catawissa/Burnsville,MO,Triangle
2015-12-04 20:00:00,Smithville,TN,Teardrop
2015-12-04 20:00:00,Morehead city,NC,
2015-12-04 19:30:00,Kirkland,WA,Fireball
2015-12-04 19:00:00,Clare,MI,Disk
2015-12-04 18:53:00,Seattle,WA,Circle
2015-12-04 18:45:00,Sumner,WA,Fireball
2015-12-04 18:30:00,Portland,OR,Fireball
2015-12-04 18:30:00,Victoria (Canada),BC,Light
2015-12-04 18:00:00,Albuquerque,NM,Light
2015-12-04 18:00:00,Fridley,MN,Cylinder
2015-12-04 18:00:00,Alanson,MI,Changing
2015-12-04 18:00:00,Elizabeth,CO,Light
2015-12-04 17:00:00,Mobile,AL,Light
2015-12-04 16:30:00,Columbia,CT,Oval
2015-12-04 16:25:00,Jefferson,MD,Circle
2015-12-04 06:45:00,Wilmington (?),NC,Unknown
2015-12-04 00:22:00,Goose Creek,SC,Unknown
2015-12-04 00:00:00,Snohomish,WA,Formation
2015-12-03 23:14:00,San Isidro (Costa Rica),,Fireball
2015-12-03 22:00:00,Scottsdale,AZ,Unknown
2015-12-03 20:12:00,Westminster,MD,Fireball
2015-12-03 20:10:00,Copperas Cove,TX,Diamond
2015-12-03 20:05:00,Chesterfield,VA,Triangle
2015-12-03 20:00:00,Denver,CO,Unknown
2015-12-03 18:15:00,Breese,IL,Triangle
2015-12-03 18:05:00,Clifton Park,NY,Light
2015-12-03 18:00:00,Lincoln,NE,Diamond
2015-12-03 17:45:00,Edgewood,NM,Circle
2015-12-03 17:40:00,Gainesville,VA,Circle
2015-12-03 17:15:00,Provincetown,MA,Formation
2015-12-03 17:00:00,Las Vegas,NV,Formation
2015-12-03 07:03:00,Angier,NC,Light
2015-12-03 05:30:00,Bay City,MI,Sphere
2015-12-03 00:00:00,Copperas Cove,TX,
2015-12-02 23:00:00,Cayo Guillermo (Cuba),,Circle
2015-12-02 22:00:00,Layton (south of),UT,Circle
2015-12-02 20:30:00,Richmond (near),VA,Triangle
2015-12-02 19:25:00,Griffin,GA,Oval
2015-12-02 18:45:00,Arlington,TX,Cigar
2015-12-02 18:30:00,Sparta,GA,Circle
2015-12-02 05:45:00,Flint,MI,Light
2015-12-02 03:00:00,Alberta (rural),AB,Triangle
2015-12-01 22:00:00,New Port Richey,FL,Fireball
2015-12-01 21:30:00,Leesville,SC,Triangle
2015-12-01 19:45:00,Brookfield,IL,Cross
2015-12-01 19:30:00,Blue Island,IL,Cross
2015-12-01 18:00:00,Montague,CA,Light
2015-12-01 13:25:00,Camano Island,WA,Unknown
2015-12-01 09:00:00,Sea-Tac (to the south of??),WA,Unknown
2015-12-01 05:30:00,Framingham,MA,Oval
2015-12-01 01:55:00,Easley,SC,Light
