# The data on UFO sightings was scraped from the monthly 
# UFO sightings reported to the National UFO Reporting Center 
# http://www.nuforc.org/webreports
# date range: 2017-01-01 to 2017-12-31
# NOTE: Data is largely unsanitized!
#
dtime,city,state,ufoshape
2017-05-16 23:44:00,Pownal,ME,Light
2017-05-16 22:40:00,Salisbury,NC,Light
2017-05-16 20:00:00,Ashton,WV,Oval
2017-05-16 09:50:00,Hamilton,AL,Triangle
2017-05-16 03:00:00,Anchorage,AK,Cylinder
2017-05-16 02:00:00,Roseville,CA,Formation
2017-05-16 00:04:00,Seatac,WA,Triangle
2017-05-15 23:00:00,North Myrtle Beach,SC,Sphere
2017-05-15 23:00:00,Lebanon,PA,Formation
2017-05-15 22:30:00,Garden City,SC,Sphere
2017-05-15 22:30:00,Pittsburgh,PA,Circle
2017-05-15 22:30:00,Myrtle Beach,SC,Light
2017-05-15 22:15:00,Garden City Beach,SC,Changing
2017-05-15 22:03:00,Myrtle Beach,SC,Circle
2017-05-15 22:00:00,North Myrtle Beach,SC,Sphere
2017-05-15 22:00:00,Myrtle Beach,SC,Circle
2017-05-15 22:00:00,Sandown,NH,Unknown
2017-05-15 22:00:00,Springfield,MA,Light
2017-05-15 22:00:00,Myrtle Beach,SC,Circle
2017-05-15 21:43:00,Ft. Collins,CO,Cigar
2017-05-15 20:45:00,San Jose,CA,Other
2017-05-15 19:10:00,Cebu (Philippines),,Circle
2017-05-15 18:40:00,Oak Lawn,IL,Changing
2017-05-15 14:16:00,North Las Vegas,NV,Teardrop
2017-05-15 13:00:00,Breda (Netherlands),,Other
2017-05-15 11:30:00,Fort Loramie,OH,Rectangle
2017-05-15 09:35:00,Cookeville,TN,Unknown
2017-05-15 09:15:00,Minster,OH,Sphere
2017-05-15 05:50:00,St. Augustine,FL,Disk
2017-05-15 04:00:00,Vincennes,IN,Circle
2017-05-15 02:30:00,Hudson,NY,Triangle
2017-05-15 01:20:00,Long Beach,CA,Fireball
2017-05-15 00:20:00,Rockledge,PA,Circle
2017-05-15 00:20:00,Rockledge,PA,Circle
2017-05-15 00:00:00,Cypress,TX,Light
2017-05-14 23:00:00,Des Moines,IA,Circle
2017-05-14 22:25:00,Lansing,MI,Other
2017-05-14 22:20:00,Des Plaines,IL,Fireball
2017-05-14 22:00:00,Clinton,CT,Circle
2017-05-14 21:43:00,Clinton,CT,Circle
2017-05-14 21:30:00,St. Petersburg,FL,Triangle
2017-05-14 20:47:00,Upper Hutt,,Changing
2017-05-14 16:30:00,Toledo,OH,Other
2017-05-14 16:00:00,Norfolk,VA,Disk
2017-05-14 15:30:00,Howell,NJ,Disk
2017-05-14 15:30:00,Belpre,OH,Other
2017-05-14 13:30:00,Covington,GA,Egg
2017-05-14 08:23:00,Chicago,IL,Circle
2017-05-14 05:30:00,San Antonio,TX,Light
2017-05-14 04:00:00,Tucson,AZ,Light
2017-05-14 03:58:00,Los Angeles,CA,Circle
2017-05-14 03:05:00,Evans,CO,Triangle
2017-05-14 00:10:00,Williamsport,PA,Triangle
2017-05-13 23:00:00,Centerville,OH,Light
2017-05-13 22:49:00,Bellingham,WA,Light
2017-05-13 22:00:00,Coolridge,WV,Fireball
2017-05-13 21:20:00,Lethbridge (Canada),AB,Triangle
2017-05-13 21:05:00,Fulton,NY,Fireball
2017-05-13 20:40:00,Gallipolis,OH,Circle
2017-05-13 19:00:00,Breckenridge,CO,Flash
2017-05-13 14:00:00,Palm Beach,FL,Other
2017-05-13 13:43:00,Limon,CO,Light
2017-05-13 11:30:00,Katy,TX,Cylinder
2017-05-13 10:30:00,Millington,TN,Cylinder
2017-05-13 04:59:00,Lake Worth,FL,Circle
2017-05-13 04:30:00,Richmond,CA,Changing
2017-05-13 04:20:00,Kansas City,KS,Light
2017-05-13 03:45:00,Tucson/Sierra Vista (Interstate 10),AZ,Light
2017-05-13 02:30:00,Lincoln,NE,Light
2017-05-12 23:10:00,Statesville,NC,Fireball
2017-05-12 23:00:00,South Yorkshire (UK/England),,Light
2017-05-12 22:45:00,Pullman,WA,Fireball
2017-05-12 21:00:00,Deltona,FL,Disk
2017-05-12 20:30:00,West Lakeland,MN,Formation
2017-05-12 20:30:00,Mesa,AZ,Other
