# S&P 500 companies
"ticker","callsign","company","sector"
"EXR","NYSE:EXR","Extra Space Storage","Real Estate"
"XOM","NYSE:XOM","Exxon Mobil Corp.","Energy"
"FFIV","NASDAQ:FFIV","F5 Networks","Information Technology"
"FB","NASDAQ:FB","Facebook, Inc.","Information Technology"
"FAST","NASDAQ:FAST","Fastenal Co","Industrials"
"FRT","NYSE:FRT","Federal Realty Investment Trust","Real Estate"
"FDX","NYSE:FDX","FedEx Corporation","Industrials"
"FIS","NYSE:FIS","Fidelity National Information Services","Information Technology"
"FITB","NASDAQ:FITB","Fifth Third Bancorp","Financials"
"FE","NYSE:FE","FirstEnergy Corp","Utilities"
"FISV","NASDAQ:FISV","Fiserv Inc","Information Technology"
"FLIR","NASDAQ:FLIR","FLIR Systems","Information Technology"
"FLS","NYSE:FLS","Flowserve Corporation","Industrials"
"FLR","NYSE:FLR","Fluor Corp.","Industrials"
"FMC","NYSE:FMC","FMC Corporation","Materials"
"FL","NYSE:FL","Foot Locker Inc","Consumer Discretionary"
"F","NYSE:F","Ford Motor","Consumer Discretionary"
"FTV","NYSE:FTV","Fortive Corp","Industrials"
"FBHS","NYSE:FBHS","Fortune Brands Home & Security","Industrials"
"BEN","NYSE:BEN","Franklin Resources","Financials"
"FCX","NYSE:FCX","Freeport-McMoRan Inc.","Materials"
"GPS","NYSE:GPS","Gap Inc.","Consumer Discretionary"
"GRMN","NASDAQ:GRMN","Garmin Ltd.","Consumer Discretionary"
"IT","NYSE:IT","Gartner Inc","Information Technology"
"GD","NYSE:GD","General Dynamics","Industrials"
"GE","NYSE:GE","General Electric","Industrials"
"GGP","NYSE:GGP","General Growth Properties Inc.","Real Estate"
"GIS","NYSE:GIS","General Mills","Consumer Staples"
"GM","NYSE:GM","General Motors","Consumer Discretionary"
"GPC","NYSE:GPC","Genuine Parts","Consumer Discretionary"
"GILD","NASDAQ:GILD","Gilead Sciences","Health Care"
"GPN","NYSE:GPN","Global Payments Inc","Information Technology"
"GS","NYSE:GS","Goldman Sachs Group","Financials"
"GT","NASDAQ:GT","Goodyear Tire & Rubber","Consumer Discretionary"
"GWW","NYSE:GWW","Grainger (W.W.) Inc.","Industrials"
"HAL","NYSE:HAL","Halliburton Co.","Energy"
"HBI","NYSE:HBI","Hanesbrands Inc","Consumer Discretionary"
"HOG","NYSE:HOG","Harley-Davidson","Consumer Discretionary"
"HRS","NYSE:HRS","Harris Corporation","Information Technology"
"HIG","NYSE:HIG","Hartford Financial Svc.Gp.","Financials"
"HAS","NASDAQ:HAS","Hasbro Inc.","Consumer Discretionary"
"HCA","NYSE:HCA","HCA Holdings","Health Care"
"HCP","NYSE:HCP","HCP Inc.","Real Estate"
"HP","NYSE:HP","Helmerich & Payne","Energy"
"HSIC","NASDAQ:HSIC","Henry Schein","Health Care"
"HSY","NYSE:HSY","The Hershey Company","Consumer Staples"
"HES","NYSE:HES","Hess Corporation","Energy"
"HPE","NYSE:HPE","Hewlett Packard Enterprise","Information Technology"
"HLT","NYSE:HLT","Hilton Worldwide Holdings Inc","Consumer Discretionary"
"HOLX","NASDAQ:HOLX","Hologic","Health Care"
"HD","NYSE:HD","Home Depot","Consumer Discretionary"
"HON","NYSE:HON","Honeywell Int'l Inc.","Industrials"
"HRL","NYSE:HRL","Hormel Foods Corp.","Consumer Staples"
"HST","NYSE:HST","Host Hotels & Resorts","Real Estate"
"HPQ","NYSE:HPQ","HP Inc.","Information Technology"
"HUM","NYSE:HUM","Humana Inc.","Health Care"
"HBAN","NASDAQ:HBAN","Huntington Bancshares","Financials"
"IDXX","NASDAQ:IDXX","IDEXX Laboratories","Health Care"
"INFO","NASDAQ:INFO","IHS Markit Ltd.","Industrials"
"ITW","NYSE:ITW","Illinois Tool Works","Industrials"
"ILMN","NASDAQ:ILMN","Illumina Inc","Health Care"
"IR","NYSE:IR","Ingersoll-Rand PLC","Industrials"
"INTC","NASDAQ:INTC","Intel Corp.","Information Technology"
"ICE","NYSE:ICE","Intercontinental Exchange","Financials"
"IBM","NYSE:IBM","International Business Machines","Information Technology"
"INCY","NASDAQ:INCY","Incyte","Health Care"
"IP","NYSE:IP","International Paper","Materials"
"IPG","NYSE:IPG","Interpublic Group","Consumer Discretionary"
"IFF","NYSE:IFF","Intl Flavors & Fragrances","Materials"
"INTU","NASDAQ:INTU","Intuit Inc.","Information Technology"
"ISRG","NASDAQ:ISRG","Intuitive Surgical Inc.","Health Care"
"IVZ","NYSE:IVZ","Invesco Ltd.","Financials"
"IRM","NYSE:IRM","Iron Mountain Incorporated","Real Estate"
"JEC","NYSE:JEC","Jacobs Engineering Group","Industrials"
"JBHT","NASDAQ:JBHT","J. B. Hunt Transport Services","Industrials"
"SJM","NYSE:SJM","JM Smucker","Consumer Staples"
"JNJ","NYSE:JNJ","Johnson & Johnson","Health Care"
"JCI","NYSE:JCI","Johnson Controls International","Industrials"
"JPM","NYSE:JPM","JPMorgan Chase & Co.","Financials"
"JNPR","NYSE:JNPR","Juniper Networks","Information Technology"
"KSU","NYSE:KSU","Kansas City Southern","Industrials"
"K","NYSE:K","Kellogg Co.","Consumer Staples"
"KEY","NYSE:KEY","KeyCorp","Financials"
"KMB","NYSE:KMB","Kimberly-Clark","Consumer Staples"
"KIM","NYSE:KIM","Kimco Realty","Real Estate"
"KMI","NYSE:KMI","Kinder Morgan","Energy"
"KLAC","NASDAQ:KLAC","KLA-Tencor Corp.","Information Technology"
"KSS","NYSE:KSS","Kohl's Corp.","Consumer Discretionary"
"KHC","NASDAQ:KHC","Kraft Heinz Co","Consumer Staples"
"KR","NYSE:KR","Kroger Co.","Consumer Staples"
"LB","NYSE:LB","L Brands Inc.","Consumer Discretionary"
"LLL","NYSE:LLL","L-3 Communications Holdings","Industrials"
"LH","NYSE:LH","Laboratory Corp. of America Holding","Health Care"
"LRCX","NASDAQ:LRCX","Lam Research","Information Technology"
"LEG","NYSE:LEG","Leggett & Platt","Consumer Discretionary"
